symbol,reported_date,methodology,outlook_sentiment_score,source_speaker,sentence_count,sector,outlook_sentiment_zscore
ORCL,2024-06-11,FinBERT,0.46404802830714137,CEO,107,Tech,0.1876969189039377
ORCL,2024-09-09,FinBERT,0.4356839541746332,CEO,108,Tech,0.00957091043767073
ORCL,2024-12-09,FinBERT,0.5094239787626679,CEO,115,Tech,0.47265728451454925
PLTR,2024-02-05,FinBERT,0.5106703245724824,CFO,167,Tech,0.4804843196306533
PLTR,2024-05-06,FinBERT,0.47404047115847553,CFO,141,Tech,0.2504493271658901
PLTR,2024-08-05,FinBERT,0.3006678643093667,CFO,124,Tech,-0.8383283389462197
PLTR,2024-11-04,FinBERT,0.5850317159239836,CFO,66,Tech,0.9474728687213477
QCOM,2024-01-31,FinBERT,0.5132379333867512,CFO,36,Tech,0.4966088688492128
QCOM,2024-05-01,FinBERT,0.25434511152926903,CFO,35,Tech,-1.1292346105678848
QCOM,2024-07-31,FinBERT,0.644129206143122,CFO,34,Tech,1.318604321626576
QCOM,2024-11-06,FinBERT,0.46282668430697865,CFO,37,Tech,0.18002689482006076
TXN,2024-01-23,FinBERT,0.2743921729080118,CFO,36,Tech,-1.003339331624826
TXN,2024-04-23,FinBERT,0.08648213446495277,CFO,29,Tech,-2.183411874879212
TXN,2024-07-23,FinBERT,0.23981659171264233,CFO,34,Tech,-1.2204735218670468
TXN,2024-10-22,FinBERT,0.304495941407823,CFO,33,Tech,-0.8142880656602449
