date,ticker,price,ttm_revenue,ttm_net_income,ttm_ocf,ttm_fcf,ttm_ps,ttm_pe,ttm_pfcf,finbert_sentiment,lexical_sentiment,recent_5d_prices,ttm_pocf
2024-02-05,NVDA,69.33200073242188,87633000000.0,30704000000.0,16983000000.0,4464000000.0,19.22526465826631,54.871274680753366,377.4121007611675,0.9756793755434564,0.9756793755434564,2024-01-30:62.77|2024-01-31:61.53|2024-02-01:63.03|2024-02-02:66.16|2024-02-05:69.33,99.2031806982189
2024-02-06,NVDA,68.2229995727539,87633000000.0,30704000000.0,16983000000.0,4464000000.0,18.9177466207698,53.993580302824384,371.37519928716847,0.9397691212677294,0.9397691212677294,2024-01-31:61.53|2024-02-01:63.03|2024-02-02:66.16|2024-02-05:69.33|2024-02-06:68.22,97.61637458740623
2024-02-07,NVDA,70.0989990234375,87633000000.0,30704000000.0,16983000000.0,4464000000.0,19.437947762481386,55.47829847151938,381.58729307113157,0.9924293950004882,0.9924293950004882,2024-02-01:63.03|2024-02-02:66.16|2024-02-05:69.33|2024-02-06:68.22|2024-02-07:70.10,100.30063453274046
2024-02-08,NVDA,69.64099884033203,87633000000.0,30704000000.0,16983000000.0,4464000000.0,19.31094760900652,55.11582438184172,379.09414691309775,0.9703809687804436,0.9703809687804436,2024-02-02:66.16|2024-02-05:69.33|2024-02-06:68.22|2024-02-07:70.10|2024-02-08:69.64,99.6453083565959
2024-02-09,NVDA,72.13300323486328,87633000000.0,30704000000.0,16983000000.0,4464000000.0,20.001962486816357,57.088066004663155,392.65949341558644,0.9473851809260933,0.9473851809260933,2024-02-05:69.33|2024-02-06:68.22|2024-02-07:70.10|2024-02-08:69.64|2024-02-09:72.13,103.21097442190295
2024-08-05,NVDA,100.44999694824219,92754000000.0,42631000000.0,31936000000.0,4464000000.0,26.316222759582175,57.2572758284414,546.8044188714797,0.3865960833981481,0.01259446,2024-07-30:103.73|2024-07-31:117.02|2024-08-01:109.21|2024-08-02:107.27|2024-08-05:100.45,76.43208059375893
2024-08-06,NVDA,104.25,92754000000.0,42631000000.0,31936000000.0,4464000000.0,27.311760139724434,59.423306983181256,567.4899193548387,0.3865960833981481,0.01259446,2024-07-31:117.02|2024-08-01:109.21|2024-08-02:107.27|2024-08-05:100.45|2024-08-06:104.25,79.32349073146293
2024-08-07,NVDA,98.91000366210938,92754000000.0,42631000000.0,31936000000.0,4464000000.0,25.912770220036418,56.37946773449504,538.4213909026115,0.3865960833981481,0.01259446,2024-08-01:109.21|2024-08-02:107.27|2024-08-05:100.45|2024-08-06:104.25|2024-08-07:98.91,75.26030464019469
2024-08-08,NVDA,104.97000122070312,92754000000.0,42631000000.0,31936000000.0,4464000000.0,27.500388443227095,59.83371325240051,571.409280838505,0.3865960833981481,0.01259446,2024-08-02:107.27|2024-08-05:100.45|2024-08-06:104.25|2024-08-07:98.91|2024-08-08:104.97,79.87133735167478
2024-08-09,NVDA,104.75,92754000000.0,42631000000.0,31936000000.0,4464000000.0,27.442751795070834,59.70831085360419,570.2116935483871,0.3865960833981481,0.01259446,2024-08-05:100.45|2024-08-06:104.25|2024-08-07:98.91|2024-08-08:104.97|2024-08-09:104.75,79.70393912825651
