config,start_date,end_date,cumulative_return,sharpe
without_sentiment,2024-02-05,2024-08-09,-0.004117643378455438,-1.2937179023984051
with_sentiment,2024-02-05,2024-08-09,-0.0005169679695129492,-1.049188329928372
