symbol,reported_date,methodology,outlook_sentiment_score,source_speaker,sentence_count,sector,outlook_sentiment_zscore
RTX,2024-10-22,FinBERT,0.5700863296889151,CFO,82,Industrials_Transport,0.8808793740007984
TDG,2024-02-08,FinBERT,0.273748570197051,CFO,35,Industrials_Transport,-0.5608038882063058
TDG,2024-05-07,FinBERT,0.35007508012126265,CFO,29,Industrials_Transport,-0.18947540138402003
TDG,2024-08-06,FinBERT,0.3573517625661591,CFO,26,Industrials_Transport,-0.15407433976031065
TDG,2024-11-07,FinBERT,0.35729381755152917,CFO,8,Industrials_Transport,-0.15435624226866307
TT,2024-02-01,FinBERT,0.4784046073577906,CFO,59,Industrials_Transport,0.4348477755917864
TT,2024-04-30,FinBERT,0.5455555554435534,CFO,48,Industrials_Transport,0.7615371521416562
TT,2024-07-31,FinBERT,0.6388893793762187,CFO,44,Industrials_Transport,1.2156062251893744
TT,2024-10-30,FinBERT,0.5569471236815874,CFO,77,Industrials_Transport,0.816957134013776
UBER,2024-02-07,FinBERT,0.750031717932065,CEO,8,Industrials_Transport,1.7563137256215564
UBER,2024-05-08,FinBERT,0.26726219995218287,CFO,39,Industrials_Transport,-0.5923600808107833
UBER,2024-08-06,FinBERT,0.45961438246724223,CFO,17,Industrials_Transport,0.3434333275502615
UBER,2024-10-31,FinBERT,0.0,None,0,Industrials_Transport,0.0
UNP,2024-01-25,FinBERT,0.2843235648432665,CFO,40,Industrials_Transport,-0.5093565370299965
UNP,2024-04-25,FinBERT,0.3227815072235184,CFO,137,Industrials_Transport,-0.32225863926764065
UNP,2024-07-25,FinBERT,0.550615025029881,CEO,75,Industrials_Transport,0.7861514727424527
UNP,2024-10-24,FinBERT,0.5533596940118144,CFO,127,Industrials_Transport,0.799504287916386
UPS,2024-01-30,FinBERT,0.11075925773473282,CFO,121,Industrials_Transport,-1.3537469275897804
UPS,2024-04-23,FinBERT,0.0440884526229799,CFO,94,Industrials_Transport,-1.6781004084701843
UPS,2024-07-23,FinBERT,0.256627549965261,CFO,119,Industrials_Transport,-0.6440976552321664
UPS,2024-10-24,FinBERT,0.45809463172168663,CFO,76,Industrials_Transport,0.33603973985373836
URI,2024-01-24,FinBERT,0.3654015412209993,CFO,55,Industrials_Transport,-0.11491216491274851
URI,2024-04-24,FinBERT,0.5685212043234504,CFO,38,Industrials_Transport,0.8732650387688814
URI,2024-07-24,FinBERT,0.37839748218317915,CFO,36,Industrials_Transport,-0.05168690940047983
URI,2024-10-23,FinBERT,0.2814962883424815,CFO,33,Industrials_Transport,-0.5231112378005038
WM,2024-02-12,FinBERT,0.8008927356625123,CFO,41,Industrials_Transport,2.003752587569278
WM,2024-04-24,FinBERT,0.5977955375441647,CFO,28,Industrials_Transport,1.0156846760400333
WM,2024-07-24,FinBERT,0.6245718760772475,CFO,34,Industrials_Transport,1.1459515686308726
WM,2024-10-28,FinBERT,0.6688822382302196,CFO,31,Industrials_Transport,1.3615214898174735
