date,it_finbert_pit_zscore,industrials_finbert_pit_zscore,it_lexical_pit_zscore,industrials_lexical_pit_zscore
2024-01-01,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,0.0
2024-01-03,0.0,0.0,0.0,0.0
2024-01-04,0.0,0.0,0.0,0.0
2024-01-05,0.0,0.0,0.0,0.0
2024-01-06,0.0,0.0,0.0,0.0
2024-01-07,0.0,0.0,0.0,0.0
2024-01-08,0.0,0.0,0.0,0.0
2024-01-09,0.0,0.0,0.0,0.0
2024-01-10,0.0,0.0,0.0,0.0
2024-01-11,0.0,0.0,0.0,0.0
2024-01-12,0.0,0.0,0.0,0.0
2024-01-13,0.0,0.0,0.0,0.0
2024-01-14,0.0,0.0,0.0,0.0
2024-01-15,0.0,0.0,0.0,0.0
2024-01-16,0.0,0.0,0.0,0.0
2024-01-17,0.0,0.0,0.0,0.0
2024-01-18,0.0,0.0,0.0,0.0
2024-01-19,0.0,0.0,0.0,0.0
2024-01-20,0.0,0.0,0.0,0.0
2024-01-21,0.0,0.0,0.0,0.0
2024-01-22,0.0,0.0,0.0,0.0
2024-01-23,0.0,0.0,0.0,0.0
2024-01-24,0.0,0.0,0.0,0.0
2024-01-25,0.0,0.0,0.0,0.0
2024-01-26,0.0,0.0,0.0,0.0
2024-01-27,0.0,0.9518699653285492,0.0,-1.132576878809119
2024-01-28,0.0,0.8723558047937081,0.0,-1.0219278430696348
2024-01-29,0.0,0.8099301468798791,0.0,-0.938437983074422
2024-01-30,0.0,0.2981252216857716,0.0,-1.5165071698837926
2024-01-31,0.0,0.5059468111666976,0.0,0.2685968236236561
2024-02-01,-0.6725966772106285,1.0707190742020625,-1.4502034958985066,1.894856353565617
2024-02-02,-0.6285020857370035,1.0203742976545214,-1.2668992607361849,1.6296063428316925
2024-02-03,-0.5920788392142946,0.9609199902731728,-1.1391701953199942,1.4702776619317264
2024-02-04,-0.5613328576243368,0.910777892215666,-1.0436287005593263,1.3500817569728207
2024-02-05,-0.5349276289275559,0.8435003344862018,-0.9686907348289796,1.1410318739028924
2024-02-06,-0.5119293433398573,0.7121266960487749,-0.9078776482987808,0.8819812365913628
2024-02-07,-0.4916632165145211,0.7468683097023954,-0.8572454772702833,1.9437253923395093
2024-02-08,-0.4736278756964073,0.6975245112075026,-0.8142376713781144,1.5327763249055
2024-02-09,-0.4574419712182979,0.6750893998177263,-0.7771146962755014,1.4279278168842016
2024-02-10,-0.4428095941701404,0.6546885596799974,-0.7446463328944346,1.3420175828664895
2024-02-11,-0.4294971414247757,0.6360320514781016,-0.7159347070248577,1.2699547205011434
2024-02-12,-0.4173174034487223,0.7088468996053165,-0.6903071025633836,1.653726137911376
2024-02-13,-0.4061183527847597,0.7314399454075975,-0.667248207955407,1.5356663264234538
2024-02-14,-0.3888994947514071,0.7114945611074848,-0.5938077782626483,1.4482389588128823
2024-02-15,-0.3503013631881946,0.7131892540702619,-0.5423815871040127,1.0560202679182304
2024-02-16,-0.3423845796160617,0.6953322510536253,-0.5283239213665551,1.0194950043093376
