Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,0.7855926599994236,0.8427093485919045,0.7617157176007766,0.8384960293769836,535796800,0.0,0.0
2000-01-04,0.8108739120933899,0.8286641530267459,0.7579705468501174,0.767802357673645,512377600,0.0,0.0
2000-01-05,0.7771654307619512,0.8281962831268006,0.7715477369707594,0.7790380120277405,778321600,0.0,0.0
2000-01-06,0.7949564038532123,0.8015104122570126,0.7116212248802185,0.7116212248802185,767972800,0.0,0.0
2000-01-07,0.7228572731851438,0.7565660199084833,0.7153670017601026,0.745329737663269,460734400,0.0,0.0
2000-01-10,0.7640566381660533,0.76592921949644,0.7097488292203643,0.7322213053703308,505064000,0.0,0.0
2000-01-11,0.7186442414243535,0.7443937175024521,0.6779133674605127,0.6947672963142395,441548800,0.0,0.0
2000-01-12,0.7116210692089869,0.7153670804411724,0.6479495795794457,0.6531000137329102,976068800,0.0,0.0
2000-01-13,0.7077586803062471,0.7397114729596479,0.6928947462462071,0.7247300744056702,1032684800,0.0,0.0
2000-01-14,0.7490749363873064,0.7659288605487886,0.7443935102583488,0.7523519396781921,390376000,0.0,0.0
2000-01-18,0.7565661287741984,0.794019991596388,0.7523520097628008,0.7785696387290955,459177600,0.0,0.0
2000-01-19,0.7912104237671839,0.8146192105890038,0.774356445298395,0.7982333898544312,597643200,0.0,0.0
2000-01-20,0.865181759830099,0.9101258953599362,0.8502004146575928,0.8502004146575928,1831132800,0.0,0.0
2000-01-21,0.8558182441758555,0.8558182441758555,0.8253872912646885,0.8338146805763245,495924800,0.0,0.0
2000-01-24,0.812278303980718,0.8445817810367108,0.7874650990926938,0.7958925366401672,440876800,0.0,0.0
2000-01-25,0.786528912237427,0.8473916114409069,0.7668660894807835,0.8408367037773132,497145600,0.0,0.0
2000-01-26,0.8239827568399724,0.8553499709824679,0.8221102261619997,0.825387179851532,367158400,0.0,0.0
2000-01-27,0.8150872291663448,0.8464552941129416,0.8015103063158883,0.8239827752113342,340144000,0.0,0.0
2000-01-28,0.8104057572353877,0.8305366852603864,0.7537571840555964,0.761247456073761,423348800,0.0,0.0
2000-01-31,0.7565661372730167,0.7781014898114764,0.7078759900418168,0.7771651744842529,701680000,0.0,0.0
2000-02-01,0.7790375590633779,0.7865286798697033,0.7490748260532125,0.7509473562240601,318035200,0.0,0.0
2000-02-02,0.7546935062688737,0.7649926241380232,0.7266024481294054,0.7401794195175171,464195200,0.0,0.0
2000-02-03,0.7514157120785117,0.7809111954377861,0.7509475544091733,0.7738882303237915,475193600,0.0,0.0
2000-02-04,0.7785696382082836,0.8239827312598382,0.7762288999242444,0.8090013861656189,425320000,0.0,0.0
2000-02-07,0.8090014420963744,0.8558181612540486,0.7935518882698434,0.8544136881828308,441067200,0.0,0.0
2000-02-08,0.8539456653250065,0.869863329349079,0.8333466236823638,0.8605005741119385,408643200,0.0,0.0
2000-02-09,0.8548819178443267,0.8773543889866506,0.842241259089873,0.8436456322669983,299364800,0.0,0.0
2000-02-10,0.8455189380650506,0.8530092606081908,0.8239827355656731,0.8502004146575928,302982400,0.0,0.0
